rowID,hpwren_timestamp,air_pressure,air_temp,avg_wind_direction,avg_wind_speed,max_wind_direction,max_wind_speed,min_wind_direction,min_wind_speed,rain_accumulation,rain_duration,relative_humidity,time
1,2024-01-01 00:00:00,1013.58,5.25,94,1.99,23,2.78,6,1.87,0.0,0.0,38.81,2024-01-01 00:00:00
2,2024-01-01 00:01:00,1013.84,4.94,12,1.95,174,1.98,2,1.85,0.0,0.0,39.4,2024-01-01 00:01:00
3,2024-01-01 00:02:00,1013.34,5.33,145,2.61,273,3.58,306,2.0,0.0,0.0,46.97,2024-01-01 00:02:00
4,2024-01-01 00:03:00,1012.6,5.77,64,1.46,339,1.99,242,1.26,0.0,0.0,52.29,2024-01-01 00:03:00
5,2024-01-01 00:04:00,1013.45,4.9,227,1.62,260,1.92,55,1.37,0.0,0.0,36.26,2024-01-01 00:04:00
6,2024-01-01 00:05:00,1012.92,4.9,241,2.52,285,2.88,72,2.35,0.0,0.0,47.5,2024-01-01 00:05:00
7,2024-01-01 00:06:00,1012.99,5.82,7,1.7,0,1.77,9,0.74,0.0,0.0,47.37,2024-01-01 00:06:00
8,2024-01-01 00:07:00,1013.54,5.41,303,2.45,85,3.44,60,1.6,0.0,0.0,56.94,2024-01-01 00:07:00
9,2024-01-01 00:08:00,1013.87,4.8,340,2.85,337,2.89,49,2.62,0.0,0.0,48.07,2024-01-01 00:08:00
10,2024-01-01 00:09:00,1013.26,5.31,42,1.8,68,2.45,121,1.47,0.0,0.0,51.91,2024-01-01 00:09:00
11,2024-01-01 00:10:00,1013.4,4.81,243,2.34,30,2.78,174,2.13,0.0,0.0,50.71,2024-01-01 00:10:00
12,2024-01-01 00:11:00,1014.1,4.82,180,1.42,197,2.37,0,0.93,0.0,0.0,39.35,2024-01-01 00:11:00
13,2024-01-01 00:12:00,1013.37,5.17,84,2.38,90,2.63,37,2.36,0.0,0.0,53.84,2024-01-01 00:12:00
14,2024-01-01 00:13:00,1014.55,4.1,154,2.1,348,2.63,189,1.43,0.0,0.0,51.08,2024-01-01 00:13:00
15,2024-01-01 00:14:00,1013.53,4.2,274,2.24,15,2.72,78,1.72,0.0,0.0,52.54,2024-01-01 00:14:00
16,2024-01-01 00:15:00,1012.37,4.78,22,1.68,309,2.38,344,0.78,0.0,0.0,69.63,2024-01-01 00:15:00
17,2024-01-01 00:16:00,1013.63,4.56,114,1.17,275,1.24,337,1.01,0.0,0.0,39.58,2024-01-01 00:16:00
18,2024-01-01 00:17:00,1013.44,5.23,305,2.25,337,2.44,189,1.45,0.0,0.0,58.62,2024-01-01 00:17:00
19,2024-01-01 00:18:00,1013.89,4.62,298,0.97,161,1.18,183,0.18,0.0,0.0,48.56,2024-01-01 00:18:00
20,2024-01-01 00:19:00,1013.59,4.38,98,1.84,191,2.58,66,1.71,0.0,0.0,51.44,2024-01-01 00:19:00
21,2024-01-01 00:20:00,1013.18,5.82,103,2.47,150,2.66,16,2.07,0.0,0.0,49.77,2024-01-01 00:20:00
22,2024-01-01 00:21:00,1012.64,4.98,50,2.1,112,2.67,315,1.93,0.0,0.0,47.88,2024-01-01 00:21:00
23,2024-01-01 00:22:00,1013.15,5.13,111,2.97,272,3.19,295,2.72,0.0,0.0,47.15,2024-01-01 00:22:00
24,2024-01-01 00:23:00,1012.82,4.39,243,2.51,175,3.37,208,2.25,0.0,0.0,51.65,2024-01-01 00:23:00
25,2024-01-01 00:24:00,1012.96,4.83,168,1.67,148,2.61,344,1.11,0.0,0.0,42.41,2024-01-01 00:24:00
26,2024-01-01 00:25:00,1013.54,5.16,71,2.01,177,2.53,40,1.6,0.0,0.0,53.75,2024-01-01 00:25:00
27,2024-01-01 00:26:00,1014.08,4.54,138,1.98,222,2.33,114,1.03,0.0,0.0,47.92,2024-01-01 00:26:00
28,2024-01-01 00:27:00,1013.45,5.31,335,1.21,258,1.44,99,1.08,0.0,0.0,44.35,2024-01-01 00:27:00
29,2024-01-01 00:28:00,1012.65,4.82,230,1.53,272,1.58,344,0.56,0.0,0.0,47.75,2024-01-01 00:28:00
30,2024-01-01 00:29:00,1013.47,4.98,238,1.72,188,1.99,348,1.49,0.0,0.0,56.29,2024-01-01 00:29:00
31,2024-01-01 00:30:00,1013.85,4.83,252,0.98,305,1.63,138,0.21,0.0,0.0,47.32,2024-01-01 00:30:00
32,2024-01-01 00:31:00,1012.95,6.06,48,2.02,89,2.55,315,1.68,0.0,0.0,51.79,2024-01-01 00:31:00
33,2024-01-01 00:32:00,1013.18,5.13,302,1.88,342,2.82,323,1.74,0.0,0.0,46.35,2024-01-01 00:32:00
34,2024-01-01 00:33:00,1013.26,4.61,71,1.16,261,1.56,333,0.3,0.0,0.0,53.79,2024-01-01 00:33:00
35,2024-01-01 00:34:00,1012.86,5.56,262,2.2,155,2.89,301,1.89,0.0,0.0,53.43,2024-01-01 00:34:00
36,2024-01-01 00:35:00,1013.57,4.54,321,2.36,199,2.85,293,1.7,0.0,0.0,59.24,2024-01-01 00:35:00
37,2024-01-01 00:36:00,1013.19,5.26,221,2.11,54,2.62,16,1.54,0.0,0.0,49.12,2024-01-01 00:36:00
38,2024-01-01 00:37:00,1013.46,4.18,76,1.84,253,2.11,321,1.37,0.0,0.0,53.34,2024-01-01 00:37:00
39,2024-01-01 00:38:00,1012.81,4.5,61,2.3,172,2.75,291,1.8,0.0,0.0,50.49,2024-01-01 00:38:00
40,2024-01-01 00:39:00,1013.03,5.27,156,2.34,199,2.81,73,1.61,0.0,0.0,56.48,2024-01-01 00:39:00
41,2024-01-01 00:40:00,1013.61,5.54,293,2.15,101,2.86,262,2.06,0.0,0.0,46.41,2024-01-01 00:40:00
42,2024-01-01 00:41:00,1013.06,5.26,124,1.59,284,2.53,15,0.92,0.0,0.0,53.73,2024-01-01 00:41:00
43,2024-01-01 00:42:00,1014.11,5.12,228,2.14,150,2.47,13,1.24,0.0,0.0,49.03,2024-01-01 00:42:00
44,2024-01-01 00:43:00,1013.05,5.04,339,2.6,110,2.64,335,2.54,0.0,0.0,49.68,2024-01-01 00:43:00
45,2024-01-01 00:44:00,1013.36,4.45,160,1.7,265,2.2,280,1.56,0.0,0.0,50.46,2024-01-01 00:44:00
46,2024-01-01 00:45:00,1013.72,4.84,28,3.05,90,3.59,3,2.33,0.0,0.0,51.26,2024-01-01 00:45:00
47,2024-01-01 00:46:00,1012.54,4.97,113,1.74,176,1.91,126,1.3,0.0,0.0,49.42,2024-01-01 00:46:00
48,2024-01-01 00:47:00,1012.37,5.73,78,2.02,230,2.78,311,1.62,0.0,0.0,51.07,2024-01-01 00:47:00
49,2024-01-01 00:48:00,1012.49,5.38,22,1.66,28,2.64,5,1.52,0.0,0.0,57.89,2024-01-01 00:48:00
50,2024-01-01 00:49:00,1013.88,4.33,105,2.11,300,3.06,128,1.6,0.0,0.0,54.93,2024-01-01 00:49:00
51,2024-01-01 00:50:00,1012.97,5.38,130,1.13,194,1.33,231,1.0,0.0,0.0,54.35,2024-01-01 00:50:00
52,2024-01-01 00:51:00,1014.53,5.03,356,1.73,306,2.61,312,1.25,0.0,0.0,47.72,2024-01-01 00:51:00
53,2024-01-01 00:52:00,1012.97,4.89,172,1.45,238,2.15,194,0.69,0.0,0.0,45.55,2024-01-01 00:52:00
54,2024-01-01 00:53:00,1013.34,5.54,263,2.07,356,2.52,64,1.81,0.0,0.0,54.78,2024-01-01 00:53:00
55,2024-01-01 00:54:00,1014.02,5.75,341,2.5,266,3.04,320,2.02,0.0,0.0,54.38,2024-01-01 00:54:00
56,2024-01-01 00:55:00,1014.25,5.7,284,2.32,213,3.17,102,1.33,0.0,0.0,57.36,2024-01-01 00:55:00
57,2024-01-01 00:56:00,1014.28,4.82,1,0.81,81,1.29,276,0.12,0.0,0.0,46.98,2024-01-01 00:56:00
58,2024-01-01 00:57:00,1013.85,5.09,232,3.02,127,3.39,157,2.18,0.0,0.0,48.85,2024-01-01 00:57:00
59,2024-01-01 00:58:00,1013.76,5.42,250,2.15,261,2.64,223,1.74,0.0,0.0,41.8,2024-01-01 00:58:00
60,2024-01-01 00:59:00,1013.55,5.74,320,1.61,66,2.19,288,0.84,0.0,0.0,48.04,2024-01-01 00:59:00
61,2024-01-01 01:00:00,1013.64,5.02,107,2.08,61,2.27,277,2.04,0.0,0.0,54.98,2024-01-01 01:00:00
62,2024-01-01 01:01:00,1012.97,5.17,275,2.09,132,2.99,181,1.97,0.0,0.0,47.67,2024-01-01 01:01:00
63,2024-01-01 01:02:00,1012.84,4.71,179,1.67,136,2.34,3,1.47,0.0,0.0,53.2,2024-01-01 01:02:00
64,2024-01-01 01:03:00,1013.25,4.67,212,2.1,27,2.73,214,1.7,0.0,0.0,49.05,2024-01-01 01:03:00
65,2024-01-01 01:04:00,1013.16,5.68,292,1.7,210,1.8,216,0.85,0.0,0.0,51.62,2024-01-01 01:04:00
66,2024-01-01 01:05:00,1013.02,5.96,71,1.8,204,2.4,208,1.45,0.0,0.0,44.26,2024-01-01 01:05:00
67,2024-01-01 01:06:00,1013.6,5.25,282,1.66,252,1.78,73,1.01,0.0,0.0,50.43,2024-01-01 01:06:00
68,2024-01-01 01:07:00,1013.73,5.79,174,1.28,37,1.36,226,0.57,0.0,0.0,35.04,2024-01-01 01:07:00
69,2024-01-01 01:08:00,1013.29,5.47,122,2.07,42,2.6,92,1.48,0.0,0.0,49.07,2024-01-01 01:08:00
70,2024-01-01 01:09:00,1013.99,4.97,226,2.29,116,2.69,64,1.93,0.0,0.0,41.85,2024-01-01 01:09:00
71,2024-01-01 01:10:00,1012.68,5.48,300,2.26,189,2.85,320,1.68,0.0,0.0,56.03,2024-01-01 01:10:00
72,2024-01-01 01:11:00,1013.15,6.07,82,2.41,45,2.5,9,2.07,0.0,0.0,53.89,2024-01-01 01:11:00
73,2024-01-01 01:12:00,1012.89,5.29,252,2.16,165,2.59,302,2.08,0.0,0.0,52.33,2024-01-01 01:12:00
74,2024-01-01 01:13:00,1012.32,6.1,145,1.73,304,1.9,321,0.74,0.0,0.0,57.61,2024-01-01 01:13:00
75,2024-01-01 01:14:00,1013.21,4.01,119,2.42,202,3.41,304,2.29,0.0,0.0,45.26,2024-01-01 01:14:00
76,2024-01-01 01:15:00,1013.19,5.73,64,1.32,232,1.88,277,1.25,0.0,0.0,58.74,2024-01-01 01:15:00
77,2024-01-01 01:16:00,1014.01,5.37,280,1.55,244,2.24,85,0.67,0.0,0.0,54.66,2024-01-01 01:16:00
78,2024-01-01 01:17:00,1013.57,5.18,282,1.52,208,1.85,25,1.22,0.0,0.0,48.82,2024-01-01 01:17:00
79,2024-01-01 01:18:00,1012.74,5.38,105,2.54,247,2.63,217,1.89,0.0,0.0,55.68,2024-01-01 01:18:00
80,2024-01-01 01:19:00,1014.18,4.34,299,2.47,294,3.45,94,2.14,0.0,0.0,44.47,2024-01-01 01:19:00
81,2024-01-01 01:20:00,1013.86,5.23,106,2.24,326,2.53,243,1.85,0.0,0.0,45.88,2024-01-01 01:20:00
82,2024-01-01 01:21:00,1013.54,5.52,35,2.54,157,2.96,106,2.28,0.0,0.0,46.96,2024-01-01 01:21:00
83,2024-01-01 01:22:00,1013.14,6.09,146,1.56,0,2.21,247,1.22,0.0,0.0,47.36,2024-01-01 01:22:00
84,2024-01-01 01:23:00,1012.77,5.1,261,2.17,216,2.19,13,1.76,0.0,0.0,44.72,2024-01-01 01:23:00
85,2024-01-01 01:24:00,1013.06,4.95,158,1.94,248,2.75,160,1.22,0.0,0.0,56.12,2024-01-01 01:24:00
86,2024-01-01 01:25:00,1013.79,5.11,264,2.42,68,2.96,70,1.91,0.0,0.0,48.71,2024-01-01 01:25:00
87,2024-01-01 01:26:00,1014.19,5.82,201,1.94,29,2.22,151,1.0,0.0,0.0,51.76,2024-01-01 01:26:00
