log_id,shipment_id,container_id,sensor_id,timestamp,temperature_celsius,humidity_percent,location_latitude,location_longitude,location_description,alarm_triggered,alarm_type,operator_id,remarks
1,SHIP_2,CONT_4,SENSOR_1,2025-12-19 12:37:00,4.34,37.0,28.79639,-162.00197,Warehouse,FALSE,,OP_8,
2,SHIP_3,CONT_5,SENSOR_1,2025-12-19 12:42:00,4.29,37.2,-21.02127,41.27807,Warehouse,FALSE,,OP_9,
3,SHIP_4,CONT_3,SENSOR_1,2025-12-19 12:47:00,3.84,42.2,-82.59119,-59.51731,Warehouse,FALSE,,OP_7,
4,SHIP_5,CONT_4,SENSOR_1,2025-12-19 12:52:00,3.86,46.5,-16.93830,168.04573,Warehouse,FALSE,,OP_2,
5,SHIP_1,CONT_5,SENSOR_1,2025-12-19 12:57:00,3.76,43.7,75.86609,-103.01185,Warehouse,FALSE,,OP_7,
6,SHIP_2,CONT_3,SENSOR_1,2025-12-19 13:02:00,4.05,30.3,44.78811,-134.76384,Warehouse,FALSE,,OP_3,
7,SHIP_4,CONT_3,SENSOR_1,2025-12-19 13:07:00,3.73,40.7,5.54617,84.46183,Warehouse,FALSE,,OP_6,
8,SHIP_1,CONT_3,SENSOR_1,2025-12-19 13:12:00,3.85,35.9,47.87736,125.95615,Warehouse,FALSE,,OP_3,
9,SHIP_2,CONT_3,SENSOR_1,2025-12-19 13:17:00,3.82,38.1,66.39533,58.61001,Warehouse,FALSE,,OP_3,
10,SHIP_5,CONT_4,SENSOR_1,2025-12-19 13:22:00,3.97,47.6,-42.33010,-67.27227,Warehouse,FALSE,,OP_6,
11,SHIP_4,CONT_1,SENSOR_1,2025-12-19 13:27:00,4.09,37.2,-63.18047,-27.72815,Warehouse,FALSE,,OP_8,
12,SHIP_4,CONT_4,SENSOR_1,2025-12-19 13:32:00,4.14,37.7,53.61624,-119.60815,Warehouse,FALSE,,OP_3,
13,SHIP_5,CONT_1,SENSOR_1,2025-12-19 13:37:00,3.92,49.9,13.87034,65.12235,Warehouse,FALSE,,OP_1,
14,SHIP_5,CONT_5,SENSOR_1,2025-12-19 13:42:00,4.07,39.7,-45.76667,-61.96548,Warehouse,FALSE,,OP_7,
15,SHIP_2,CONT_2,SENSOR_1,2025-12-19 13:47:00,3.77,36.9,-74.35732,-52.81606,Warehouse,FALSE,,OP_9,
16,SHIP_2,CONT_4,SENSOR_1,2025-12-19 13:52:00,4.10,43.0,-58.94458,82.32741,Warehouse,FALSE,,OP_8,
17,SHIP_1,CONT_2,SENSOR_1,2025-12-19 13:57:00,4.10,37.6,52.76516,-38.06033,Warehouse,FALSE,,OP_10,
18,SHIP_1,CONT_4,SENSOR_1,2025-12-19 14:02:00,4.11,35.1,78.40591,-118.61195,Warehouse,FALSE,,OP_4,
19,SHIP_2,CONT_3,SENSOR_1,2025-12-19 14:07:00,4.05,44.2,19.88148,87.46190,Warehouse,FALSE,,OP_9,
20,SHIP_2,CONT_2,SENSOR_1,2025-12-19 14:12:00,3.72,47.2,63.90908,-92.48923,Warehouse,FALSE,,OP_6,
21,SHIP_2,CONT_1,SENSOR_1,2025-12-19 14:17:00,4.01,31.9,21.26400,19.07745,Warehouse,FALSE,,OP_10,
22,SHIP_4,CONT_2,SENSOR_1,2025-12-19 14:22:00,3.94,46.7,33.44860,154.41619,Warehouse,FALSE,,OP_2,
23,SHIP_2,CONT_2,SENSOR_1,2025-12-19 14:27:00,4.02,41.3,-38.28079,153.86816,Warehouse,FALSE,,OP_5,
24,SHIP_1,CONT_2,SENSOR_1,2025-12-19 14:32:00,3.95,48.5,32.33024,-168.74047,Warehouse,FALSE,,OP_6,
25,SHIP_1,CONT_2,SENSOR_1,2025-12-19 14:37:00,3.98,38.6,32.35902,116.75912,Warehouse,FALSE,,OP_9,
26,SHIP_1,CONT_2,SENSOR_1,2025-12-19 14:42:00,3.64,35.3,-82.92827,47.33171,Warehouse,FALSE,,OP_8,
27,SHIP_4,CONT_4,SENSOR_1,2025-12-19 14:47:00,3.93,38.4,74.32479,-11.51165,Warehouse,FALSE,,OP_3,
28,SHIP_3,CONT_5,SENSOR_1,2025-12-19 14:52:00,4.17,30.7,-74.47042,-35.59143,Warehouse,FALSE,,OP_9,
29,SHIP_3,CONT_3,SENSOR_1,2025-12-19 14:57:00,4.26,43.1,-38.68460,-130.20056,Warehouse,FALSE,,OP_5,
30,SHIP_1,CONT_5,SENSOR_1,2025-12-19 15:02:00,4.25,38.7,-21.82478,-150.29674,Warehouse,FALSE,,OP_3,
31,SHIP_3,CONT_4,SENSOR_1,2025-12-19 15:07:00,4.55,32.1,64.52530,126.31524,Warehouse,FALSE,,OP_1,
32,SHIP_5,CONT_1,SENSOR_1,2025-12-19 15:12:00,4.76,44.0,-81.27478,164.56640,Warehouse,FALSE,,OP_4,
33,SHIP_1,CONT_1,SENSOR_1,2025-12-19 15:17:00,9.23,35.3,-40.87875,-66.63994,Warehouse,FALSE,,OP_5,
34,SHIP_4,CONT_5,SENSOR_1,2025-12-19 15:22:00,8.00,37.0,-43.73380,-104.79066,Warehouse,FALSE,,OP_4,
35,SHIP_5,CONT_5,SENSOR_1,2025-12-19 15:27:00,7.97,31.2,39.55102,-4.12375,Warehouse,FALSE,,OP_5,
